nsfid,doi,resource_title,type,title
1440351,10.1594/ieda/100709,iSamples Sample Management Training Module for Soil Cores,Dataset,Earthcube Rcn: Isamples: The Internet Of Samples In The Earth Sciences
1440351,10.1594/ieda/100691,iSamples Sample Management Training Module for Rock Outcrop Samples,Dataset,Earthcube Rcn: Isamples: The Internet Of Samples In The Earth Sciences
1440351,10.6084/m9.figshare.4272164.v1,iSamples user stories: common themes and areas for future work,ScholarlyArticle,Earthcube Rcn: Isamples: The Internet Of Samples In The Earth Sciences
1541390,10.18739/a24m9198b,"Estimating the Freshwater Flux from the Greenland Ice Sheet Workshop Report, American Geophysical Union, 2018",Dataset,Earthcube Rcn: Collaborative Research: Engaging The Greenland Ice Sheet Ocean (Griso) Science Network
1639683,10.6084/m9.figshare.14848713.v1,Intelligent Databases and Machine-Learning Analysis Tools for Heliophysics,Poster,Earthcube Data Infrastructure: Intelligent Databases And Analysis Tools For Geospace Data
1639764,10.1594/pangaea.892680,"Land2Sea database, Version 2.0",Dataset,Earthcube Building Blocks: Collaborative Proposal: Earthcube Data Discovery Hub
1928406,10.5281/zenodo.5496306,Mapping ice flow velocity using an easy and interactive feature tracking workflow,SoftwareSourceCode,Collaborative Research: Earthcube Data Capabilities--Jupyter Meets The Earth: Enabling Discovery In Geoscience Through Interactive Computing At Scale
1440066,10.13140/rg.2.1.4908.4561,EarthCube Oceanography and Geobiology Environmental 'Omics Research Coordination Network Workshop 1 Report,Article,Earthcube Rcn: An Earthcube Oceanography And Geobiology Environmental Omics Research Coordination Network (Ecogeo Rcn)
1928393,10.5281/zenodo.4558266,nsidc/qgreenland: v1.0.1,SoftwareSourceCode,Earthcube Data Capabilities: Qgreenland: Enabling Science Through Gis
1928393,10.5281/zenodo.6369184,QGreenland,SoftwareSourceCode,Earthcube Data Capabilities: Qgreenland: Enabling Science Through Gis
1639694,10.5065/p2jj-9878,Proceedings of the 2020 Improving Scientific Software Conference,Report,Earthcube Building Blocks: Collaborative Proposal: The Power Of Many: Ensemble Toolkit For Earth Sciences
